Ticker,Date,Bloomberg ESG Score,Bloomberg Environmental Pillar,Bloomberg Governance Pillar,Bloomberg Social Pillar,S&P Global ESG Rank,S&P Global Governance & Economic Dimension Rank,S&P Global Environmental Dimension Rank,S&P Global Social Dimension Rank,Month,Year,Price,Credit Risk Indicator,Beta,Alpha,Issuer Default Risk,30 Day Volatility,P/E Ratio,Revenue,Market Cap,Historical Market Cap,EPS,Yahoo Finance ESG Score,Yahoo Finance Environmental Score,Yahoo Finance Social Score,Yahoo Finance Governance Score,Monthly Return,GICS Sector,GICS Industry,GICS Industry Group,GICS Sub-Industry,Lasso Model
A,2015-01-31,,,,,,,,,1,2015,37.77,,0.9263,-0.0741,IG1,26.113,32.4291,,12684.9291,,,73.0,63.0,83.0,73.0,,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2015-02-28,,,,,,,,,2,2015,42.21,,0.9582,0.2856,IG1,23.935,36.2413,1026.0,14176.0883,12690.72,0.19,71.0,63.0,83.0,69.0,0.1175536139793487,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2015-03-31,,,,,,,,,3,2015,41.55,,0.9935,0.4631,IG1,18.863,35.6746,1026.0,13952.9181,12690.72,0.19,71.0,63.0,83.0,69.0,-0.0156361051883441,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2015-04-30,,,,,,,,,4,2015,41.37,,0.9956,0.387,IG1,16.397,31.2193,963.0,13892.4722,13776.21,0.26,71.0,63.0,83.0,69.0,-0.0043321299638988,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2015-05-31,,,,,,,,,5,2015,41.19,,0.9677,0.0546,IG1,15.146,31.0834,963.0,13832.0264,13776.21,0.26,71.0,63.0,83.0,69.0,-0.0043509789702682,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2015-06-30,,,,,,,,,6,2015,38.58,IG2,0.9803,0.0507,IG1,17.082,29.1138,963.0,12854.5374,13776.21,0.26,71.0,63.0,83.0,69.0,-0.0633648943918426,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2015-07-31,,,,,,,,,7,2015,40.95,IG2,0.9988,0.1982,IG1,21.757,28.9413,1014.0,13644.2018,13595.4,0.33,71.0,63.0,83.0,69.0,0.0614307931570763,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2015-08-31,,,,,,,,,8,2015,36.31,IG2,1.1793,-0.8356,IG1,28.873,25.662,1014.0,12098.1921,13595.4,0.33,71.0,63.0,83.0,69.0,-0.1133089133089133,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2015-09-30,,,,,,,,,9,2015,34.33,IG2,1.1933,-0.9007,IG1,34.139,24.2626,1014.0,11377.0728,13595.4,0.33,71.0,63.0,82.0,69.0,-0.0545304323877721,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2015-10-31,2.74,1.5,5.63,1.62,,,,,10,2015,37.76,IG2,1.2575,-0.7235,IG1,23.52,25.8573,1014.0,12513.7859,13595.4,0.33,70.0,61.0,82.0,71.0,0.0999126128750365,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
